timestamp,week,week_start,week_end,team1_name,team1_current_score,team1_projected_score,team2_name,team2_current_score,team2_projected_score
2026-02-05T20:00:38.747200,18,2026-02-02,2026-03-01,The Nose Goes,210.5,241.99,Pucker McPuckface,184.0,219.9
2026-02-05T21:30:43.174127,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,127.0,137.63,youre on your own sid,163.5,170.23
2026-02-05T21:30:43.174144,18,2026-02-02,2026-03-01,Eichel Tower,113.0,123.02,ericas Optimal Team,226.5,231.44
2026-02-05T21:30:43.174152,18,2026-02-02,2026-03-01,Eichel on Ice,161.0,169.08,Broke My Leg Pavelskiing,151.0,158.24
2026-02-05T21:30:43.174158,18,2026-02-02,2026-03-01,Poke Checks,166.0,195.72,Return Of The Mack,216.5,218.77
2026-02-05T21:30:43.174165,18,2026-02-02,2026-03-01,The Big Sticks,192.5,200.19,Weast Coast Bruins,250.0,266.35
2026-02-05T21:30:43.174170,18,2026-02-02,2026-03-01,The Nose Goes,222.0,227.15,Pucker McPuckface,198.5,213.73
2026-02-05T21:35:46.751902,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,128.0,138.62,youre on your own sid,163.5,170.21
2026-02-05T21:35:46.751915,18,2026-02-02,2026-03-01,Eichel Tower,113.5,123.52,ericas Optimal Team,229.0,233.91
2026-02-05T21:35:46.751921,18,2026-02-02,2026-03-01,Eichel on Ice,161.0,169.07,Broke My Leg Pavelskiing,149.0,156.24
2026-02-05T21:35:46.751926,18,2026-02-02,2026-03-01,Poke Checks,167.0,196.72,Return Of The Mack,220.5,222.77
2026-02-05T21:35:46.751930,18,2026-02-02,2026-03-01,The Big Sticks,192.5,200.16,Weast Coast Bruins,258.5,274.86
2026-02-05T21:35:46.751934,18,2026-02-02,2026-03-01,The Nose Goes,235.0,240.14,Pucker McPuckface,206.0,221.23
2026-02-05T21:47:05.572814,18,2026-02-02,2026-03-01,More Like HelleSUCK Am I Right,129.0,136.75,youre on your own sid,166.0,172.65
2026-02-05T21:47:05.572831,18,2026-02-02,2026-03-01,Eichel Tower,114.0,124.0,ericas Optimal Team,244.0,244.42
2026-02-05T21:47:05.572837,18,2026-02-02,2026-03-01,Eichel on Ice,161.0,169.05,Broke My Leg Pavelskiing,152.5,152.85
2026-02-05T21:47:05.572842,18,2026-02-02,2026-03-01,Poke Checks,173.0,202.7,Return Of The Mack,221.5,221.74
2026-02-05T21:47:05.572846,18,2026-02-02,2026-03-01,The Big Sticks,203.0,208.09,Weast Coast Bruins,265.0,278.49
2026-02-05T21:47:05.572851,18,2026-02-02,2026-03-01,The Nose Goes,233.5,233.56,Pucker McPuckface,212.0,224.34
2026-03-28T18:55:38.744071,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,288.5,411.13,The Big Sticks,227.5,300.58
2026-03-28T18:55:38.744084,22,2026-03-23,2026-03-29,Return Of The Mack,177.5,292.92,youre on your own sid,205.5,282.94
2026-03-28T18:55:38.744090,22,2026-03-23,2026-03-29,The Nose Goes,227.0,302.38,Weast Coast Bruins,222.5,307.56
2026-03-28T18:55:38.744094,22,2026-03-23,2026-03-29,Pucker McPuckface,183.5,265.22,ericas Optimal Team,224.0,284.26
2026-03-29T00:40:16.439927,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,315.0,408.51,The Big Sticks,238.0,292.2
2026-03-29T00:40:16.439953,22,2026-03-23,2026-03-29,Return Of The Mack,182.5,273.55,youre on your own sid,227.5,271.87
2026-03-29T00:40:16.439968,22,2026-03-23,2026-03-29,The Nose Goes,240.0,296.31,Weast Coast Bruins,257.0,311.36
2026-03-29T00:40:16.439981,22,2026-03-23,2026-03-29,Pucker McPuckface,185.5,253.98,ericas Optimal Team,247.5,289.54
2026-03-29T02:06:04.625165,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,337.0,419.15,The Big Sticks,243.5,286.2
2026-03-29T02:06:04.625191,22,2026-03-23,2026-03-29,Return Of The Mack,191.5,266.02,youre on your own sid,232.5,267.8
2026-03-29T02:06:04.625204,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.3,Weast Coast Bruins,261.0,306.55
2026-03-29T02:06:04.625217,22,2026-03-23,2026-03-29,Pucker McPuckface,210.0,267.16,ericas Optimal Team,256.5,290.08
2026-03-29T03:10:30.247478,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,350.0,424.32,The Big Sticks,244.5,276.61
2026-03-29T03:10:30.247503,22,2026-03-23,2026-03-29,Return Of The Mack,200.5,262.96,you're on your own sid,237.5,270.02
2026-03-29T03:10:30.247516,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.15,Weast Coast Bruins,260.5,304.25
2026-03-29T03:10:30.247528,22,2026-03-23,2026-03-29,Pucker McPuckface,227.0,265.4,erica's Optimal Team,256.5,283.79
2026-03-29T03:29:41.258442,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,355.0,426.17,The Big Sticks,244.5,276.57
2026-03-29T03:29:41.258479,22,2026-03-23,2026-03-29,Return Of The Mack,200.0,262.42,you're on your own sid,238.5,271.02
2026-03-29T03:29:41.258494,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.15,Weast Coast Bruins,260.5,304.25
2026-03-29T03:29:41.258507,22,2026-03-23,2026-03-29,Pucker McPuckface,232.5,270.84,erica's Optimal Team,257.0,284.28
2026-03-29T03:39:16.941618,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,353.0,421.88,The Big Sticks,244.5,276.55
2026-03-29T03:39:16.941648,22,2026-03-23,2026-03-29,Return Of The Mack,202.0,264.4,you're on your own sid,239.0,269.02
2026-03-29T03:39:16.941662,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.15,Weast Coast Bruins,260.5,302.48
2026-03-29T03:39:16.941674,22,2026-03-23,2026-03-29,Pucker McPuckface,238.0,276.3,erica's Optimal Team,256.5,278.94
2026-03-29T04:38:53.803735,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,356.5,419.9,The Big Sticks,244.5,276.55
2026-03-29T04:38:53.803764,22,2026-03-23,2026-03-29,Return Of The Mack,201.5,263.9,you're on your own sid,230.0,257.49
2026-03-29T04:38:53.803778,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.15,Weast Coast Bruins,261.5,301.68
2026-03-29T04:38:53.803790,22,2026-03-23,2026-03-29,Pucker McPuckface,237.0,275.3,erica's Optimal Team,260.0,277.52
2026-03-29T05:06:19.547597,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,363.0,426.26,The Big Sticks,244.5,276.55
2026-03-29T05:06:19.547629,22,2026-03-23,2026-03-29,Return Of The Mack,201.5,263.75,you're on your own sid,232.0,259.16
2026-03-29T05:06:19.547644,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.25,Weast Coast Bruins,262.0,301.95
2026-03-29T05:06:19.547656,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,274.45,erica's Optimal Team,270.0,287.57
2026-03-29T05:43:37.416433,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.25,The Big Sticks,244.5,276.55
2026-03-29T05:43:37.416462,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.75,you're on your own sid,238.0,265.15
2026-03-29T05:43:37.416476,22,2026-03-23,2026-03-29,The Nose Goes,239.5,292.25,Weast Coast Bruins,262.0,301.95
2026-03-29T05:43:37.416489,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,274.45,erica's Optimal Team,270.5,288.05
2026-03-29T06:12:19.363757,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.25,The Big Sticks,244.5,276.55
2026-03-29T06:12:19.363781,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.7,you're on your own sid,238.0,265.15
2026-03-29T06:12:19.363793,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.9,Weast Coast Bruins,262.0,301.85
2026-03-29T06:12:19.363805,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,274.45,erica's Optimal Team,270.5,288.05
2026-03-29T07:00:01.776996,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.2,The Big Sticks,244.5,276.45
2026-03-29T07:00:01.777035,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.55,you're on your own sid,238.0,265.15
2026-03-29T07:00:01.777051,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.9,Weast Coast Bruins,262.0,301.85
2026-03-29T07:00:01.777063,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,274.4,erica's Optimal Team,270.5,288.05
2026-03-29T07:34:38.768436,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.2,The Big Sticks,244.5,276.45
2026-03-29T07:34:38.768467,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.55,you're on your own sid,238.0,265.15
2026-03-29T07:34:38.768483,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.9,Weast Coast Bruins,262.0,301.85
2026-03-29T07:34:38.768495,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,274.4,erica's Optimal Team,270.5,288.05
2026-03-29T08:36:47.078172,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.4,The Big Sticks,244.5,276.45
2026-03-29T08:36:47.078201,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.15,you're on your own sid,238.0,265.15
2026-03-29T08:36:47.078214,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.7,Weast Coast Bruins,262.0,301.75
2026-03-29T08:36:47.078227,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,273.8,erica's Optimal Team,270.5,288.05
2026-03-29T10:30:02.777479,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.4,The Big Sticks,244.5,276.45
2026-03-29T10:30:02.777509,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.15,you're on your own sid,238.0,265.15
2026-03-29T10:30:02.777523,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.7,Weast Coast Bruins,262.0,301.75
2026-03-29T10:30:02.777536,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,273.8,erica's Optimal Team,270.5,288.05
2026-03-29T12:49:17.628392,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.4,The Big Sticks,244.5,276.45
2026-03-29T12:49:17.628417,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.15,you're on your own sid,238.0,265.15
2026-03-29T12:49:17.628430,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.7,Weast Coast Bruins,262.0,301.75
2026-03-29T12:49:17.628441,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,273.8,erica's Optimal Team,270.5,288.05
2026-03-29T14:31:36.858661,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.4,The Big Sticks,244.5,276.45
2026-03-29T14:31:36.858694,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.15,you're on your own sid,238.0,265.15
2026-03-29T14:31:36.858706,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.7,Weast Coast Bruins,262.0,301.75
2026-03-29T14:31:36.858718,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,273.8,erica's Optimal Team,270.5,288.05
2026-03-29T16:35:28.074154,22,2026-03-23,2026-03-29,More Like HelleSUCK Am I Right,361.0,424.4,The Big Sticks,244.5,276.45
2026-03-29T16:35:28.074182,22,2026-03-23,2026-03-29,Return Of The Mack,202.5,264.15,you're on your own sid,238.0,272.05
2026-03-29T16:35:28.074196,22,2026-03-23,2026-03-29,The Nose Goes,239.5,291.7,Weast Coast Bruins,262.0,301.75
2026-03-29T16:35:28.074208,22,2026-03-23,2026-03-29,Pucker McPuckface,236.0,273.8,erica's Optimal Team,270.5,288.05
